epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.5263,0.87424,0.91114,0.99735,0.30273,0.000330579,0.000330579,0.000330579
2,82.0215,0.37728,0.93501,0.99867,0.19256,0.000642003,0.000642003,0.000642003
3,123.732,0.35047,0.88594,0.99867,0.31944,0.000931427,0.000931427,0.000931427
4,165.387,0.33412,0.90318,1,0.27105,0.000901,0.000901,0.000901
5,205.988,0.34792,0.89655,1,0.29916,0.000868,0.000868,0.000868
6,247.867,0.30143,0.8992,1,0.24505,0.000835,0.000835,0.000835
7,289.093,0.26546,0.9244,0.99867,0.23455,0.000802,0.000802,0.000802
8,330.468,0.26338,0.91645,1,0.23692,0.000769,0.000769,0.000769
9,371.81,0.24801,0.92175,1,0.22617,0.000736,0.000736,0.000736
10,413.309,0.17759,0.94032,1,0.16993,0.000703,0.000703,0.000703
11,455.044,0.18789,0.9443,0.99867,0.19082,0.00067,0.00067,0.00067
12,496.35,0.19039,0.9244,0.99867,0.29302,0.000637,0.000637,0.000637
13,537.7,0.16856,0.92971,0.99867,0.2357,0.000604,0.000604,0.000604
14,579.365,0.15298,0.9191,0.99867,0.24139,0.000571,0.000571,0.000571
15,620.753,0.15734,0.92573,1,0.20869,0.000538,0.000538,0.000538
16,664.19,0.13229,0.93767,0.99867,0.20297,0.000505,0.000505,0.000505
17,706.083,0.10724,0.93767,1,0.17684,0.000472,0.000472,0.000472
18,747.925,0.10321,0.94695,1,0.15983,0.000439,0.000439,0.000439
19,789.302,0.09099,0.94032,0.99867,0.17719,0.000406,0.000406,0.000406
20,829.68,0.08211,0.9443,0.99867,0.16496,0.000373,0.000373,0.000373
21,869.94,0.08512,0.94695,0.99867,0.18982,0.00034,0.00034,0.00034
22,911.51,0.07845,0.95358,0.99867,0.15542,0.000307,0.000307,0.000307
23,952.336,0.07385,0.94828,0.99867,0.1757,0.000274,0.000274,0.000274
24,992.925,0.06422,0.9496,0.99867,0.17436,0.000241,0.000241,0.000241
25,1033.8,0.05881,0.9443,0.99867,0.19378,0.000208,0.000208,0.000208
26,1075.5,0.06716,0.94164,0.99867,0.17511,0.000175,0.000175,0.000175
27,1117.11,0.05308,0.94562,1,0.18689,0.000142,0.000142,0.000142
28,1158.25,0.05864,0.94695,0.99867,0.16352,0.000109,0.000109,0.000109
29,1199.39,0.04735,0.94828,0.99867,0.16591,7.6e-05,7.6e-05,7.6e-05
30,1241.15,0.04519,0.94828,0.99867,0.16724,4.3e-05,4.3e-05,4.3e-05
