epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.6878,1.90259,0.30065,0.96078,1.59739,0.00013,0.00013,0.00013
2,12.4046,1.25017,0.75817,1,0.9532,0.000265545,0.000265545,0.000265545
3,18.0168,0.7113,0.9085,1,0.44159,0.00039647,0.00039647,0.00039647
4,23.638,0.31894,0.89542,1,0.34194,0.000522775,0.000522775,0.000522775
5,28.9822,0.1924,0.91503,1,0.30518,0.00064446,0.00064446,0.00064446
6,34.2689,0.14175,0.91503,1,0.2973,0.000761525,0.000761525,0.000761525
7,39.6982,0.08453,0.9281,1,0.26443,0.00087397,0.00087397,0.00087397
8,45.0122,0.08995,0.90196,1,0.38812,0.0008845,0.0008845,0.0008845
9,50.3022,0.1047,0.86275,1,0.60505,0.000868,0.000868,0.000868
10,55.5786,0.1114,0.86275,1,0.60395,0.0008515,0.0008515,0.0008515
11,60.8898,0.08411,0.89542,1,0.44356,0.000835,0.000835,0.000835
12,66.3311,0.1087,0.85621,1,0.53429,0.0008185,0.0008185,0.0008185
13,71.6195,0.11474,0.88889,1,0.55133,0.000802,0.000802,0.000802
14,77.1605,0.13066,0.91503,1,0.54002,0.0007855,0.0007855,0.0007855
15,82.4028,0.16432,0.90196,1,0.47771,0.000769,0.000769,0.000769
16,87.841,0.08416,0.88235,1,0.44425,0.0007525,0.0007525,0.0007525
17,93.2289,0.09772,0.88235,1,0.37156,0.000736,0.000736,0.000736
18,98.6603,0.08593,0.89542,1,0.33846,0.0007195,0.0007195,0.0007195
19,104.069,0.09253,0.92157,1,0.33225,0.000703,0.000703,0.000703
20,109.472,0.07909,0.92157,1,0.35053,0.0006865,0.0006865,0.0006865
21,114.768,0.06997,0.92157,1,0.37307,0.00067,0.00067,0.00067
22,120.155,0.08376,0.88889,1,0.43047,0.0006535,0.0006535,0.0006535
23,125.522,0.09043,0.88889,1,0.49053,0.000637,0.000637,0.000637
24,130.888,0.09148,0.88889,1,0.4697,0.0006205,0.0006205,0.0006205
25,136.32,0.05951,0.88889,1,0.53387,0.000604,0.000604,0.000604
26,141.748,0.07764,0.89542,1,0.64775,0.0005875,0.0005875,0.0005875
27,147.054,0.11093,0.90196,1,0.53833,0.000571,0.000571,0.000571
28,152.373,0.03944,0.91503,0.99346,0.50181,0.0005545,0.0005545,0.0005545
29,157.856,0.06147,0.88889,0.99346,0.5046,0.000538,0.000538,0.000538
30,163.251,0.06683,0.91503,1,0.37223,0.0005215,0.0005215,0.0005215
31,168.619,0.0248,0.91503,1,0.36979,0.000505,0.000505,0.000505
32,174.113,0.03112,0.91503,1,0.37358,0.0004885,0.0004885,0.0004885
33,179.473,0.03102,0.93464,1,0.36643,0.000472,0.000472,0.000472
34,184.799,0.03711,0.91503,1,0.43516,0.0004555,0.0004555,0.0004555
35,190.198,0.02533,0.92157,1,0.45391,0.000439,0.000439,0.000439
36,195.632,0.02847,0.91503,1,0.42674,0.0004225,0.0004225,0.0004225
37,201.02,0.04396,0.91503,1,0.38491,0.000406,0.000406,0.000406
38,206.279,0.02089,0.9085,1,0.42511,0.0003895,0.0003895,0.0003895
39,211.547,0.03176,0.9085,1,0.42626,0.000373,0.000373,0.000373
40,217.014,0.05683,0.90196,1,0.45827,0.0003565,0.0003565,0.0003565
41,222.244,0.01538,0.9085,1,0.43419,0.00034,0.00034,0.00034
42,227.645,0.01297,0.91503,1,0.40263,0.0003235,0.0003235,0.0003235
43,232.896,0.0605,0.92157,1,0.39837,0.000307,0.000307,0.000307
44,238.441,0.01671,0.9281,1,0.41054,0.0002905,0.0002905,0.0002905
45,243.912,0.02371,0.9281,1,0.39249,0.000274,0.000274,0.000274
46,249.303,0.01576,0.93464,1,0.37618,0.0002575,0.0002575,0.0002575
47,254.539,0.02442,0.92157,1,0.38776,0.000241,0.000241,0.000241
48,260.144,0.03686,0.92157,1,0.32886,0.0002245,0.0002245,0.0002245
49,265.548,0.01992,0.92157,1,0.32739,0.000208,0.000208,0.000208
50,270.828,0.0247,0.93464,1,0.36035,0.0001915,0.0001915,0.0001915
51,276.06,0.03113,0.9281,1,0.37714,0.000175,0.000175,0.000175
52,281.418,0.02751,0.9281,1,0.43091,0.0001585,0.0001585,0.0001585
53,286.798,0.00901,0.92157,1,0.45853,0.000142,0.000142,0.000142
54,292.046,0.0287,0.93464,1,0.41135,0.0001255,0.0001255,0.0001255
55,297.345,0.00586,0.9281,1,0.366,0.000109,0.000109,0.000109
56,302.671,0.01182,0.93464,1,0.37878,9.25e-05,9.25e-05,9.25e-05
57,307.942,0.01304,0.93464,1,0.40446,7.6e-05,7.6e-05,7.6e-05
58,313.19,0.01382,0.93464,1,0.34467,5.95e-05,5.95e-05,5.95e-05
59,318.623,0.00346,0.94118,1,0.38835,4.3e-05,4.3e-05,4.3e-05
60,323.994,0.01174,0.93464,1,0.40037,2.65e-05,2.65e-05,2.65e-05
