epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,117.152,0.59606,0.8987,1,0.27407,0.000472191,0.000472191,0.000472191
2,231.195,0.36027,0.90014,1,0.2737,0.000901573,0.000901573,0.000901573
3,343.098,0.34262,0.89725,1,0.29639,0.0012838,0.0012838,0.0012838
4,451.688,0.41987,0.88278,1,0.3107,0.00121679,0.00121679,0.00121679
5,558.165,0.35852,0.87265,1,0.3081,0.00114606,0.00114606,0.00114606
6,661.942,0.37779,0.88857,1,0.31351,0.00107532,0.00107532,0.00107532
7,771.112,0.3422,0.90738,1,0.24067,0.00100459,0.00100459,0.00100459
8,880.598,0.27718,0.9233,1,0.23623,0.000933851,0.000933851,0.000933851
9,989.498,0.2323,0.9233,1,0.22583,0.000863116,0.000863116,0.000863116
10,1098.59,0.22605,0.92619,1,0.19664,0.00079238,0.00079238,0.00079238
11,1208.44,0.20143,0.9233,1,0.19211,0.000721645,0.000721645,0.000721645
12,1317.48,0.17959,0.91317,1,0.21073,0.000650909,0.000650909,0.000650909
13,1426.52,0.17364,0.92041,1,0.21991,0.000580174,0.000580174,0.000580174
14,1534.97,0.14383,0.92909,1,0.16542,0.000509438,0.000509438,0.000509438
15,1633.87,0.14148,0.93922,1,0.18231,0.000438703,0.000438703,0.000438703
16,1675.57,0.13082,0.91751,1,0.19507,0.000367967,0.000367967,0.000367967
17,1718.34,0.10725,0.9479,1,0.16387,0.000297232,0.000297232,0.000297232
18,1760.55,0.08757,0.93777,1,0.17612,0.000226497,0.000226497,0.000226497
19,1802.9,0.10789,0.94645,1,0.1636,0.000155761,0.000155761,0.000155761
20,1845.37,0.09023,0.93777,1,0.16514,8.50255e-05,8.50255e-05,8.50255e-05
